S.No.,Name,Location,Year,Fuel_Type,Transmission,Owner_Type,Engine,Power,Seats
0,Maruti Wagon R LXI CNG,Mumbai,2010,CNG,Manual,First,998 CC,58.16 bhp,5
1,Hyundai Creta 1.6 CRDi SX Option,Pune,2015,Diesel,Manual,First,1582 CC,126.2 bhp,5
2,Honda Jazz V,Chennai,2011,Petrol,Manual,First,1199 CC,88.7 bhp,5
3,Maruti Ertiga VDI,Chennai,2012,Diesel,Manual,First,1248 CC,88.76 bhp,7
4,Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,Diesel,Automatic,Second,1968 CC,140.8 bhp,5
5,Hyundai EON LPG Era Plus Option,Hyderabad,2012,LPG,Manual,First,814 CC,55.2 bhp,5
6,Nissan Micra Diesel XV,Jaipur,2013,Diesel,Manual,,1461 CC,63.1 bhp,5
7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,Diesel,Automatic,,2755 CC,171.5 bhp,8
8,Volkswagen Vento Diesel Comfortline,Pune,2013,,Manual,First,1598 CC,103.6 bhp,5
9,Tata Indica Vista Quadrajet LS,Chennai,2012,Diesel,Manual,Second,1248 CC,74 bhp,5
10,Maruti Ciaz Zeta,Kochi,2018,Petrol,Manual,First,,103.25 bhp,5
11,Honda City 1.5 V AT Sunroof,Kolkata,2012,Petrol,Automatic,First,1497 CC,116.3 bhp,5
12,Maruti Swift VDI BSIV,Jaipur,2015,Diesel,Manual,First,1248 CC,74 bhp,5
13,Land Rover Range Rover 2.2L Pure,Delhi,2014,Diesel,Automatic,First,2179 CC,187.7 bhp,5
14,Land Rover Freelander 2 TD4 SE,Pune,2012,Diesel,Automatic,Second,2179 CC,115 bhp,5
15,Mitsubishi Pajero Sport 4X4,Delhi,2014,Diesel,Manual,First,2477 CC,175.56 bhp,7
16,Honda Amaze S i-Dtech,Kochi,2016,Diesel,Manual,First,1498 CC,98.6 bhp,5
17,Maruti Swift DDiS VDI,Jaipur,2017,Diesel,Manual,,1248 CC,74 bhp,5
18,Renault Duster 85PS Diesel RxL Plus,Kochi,2014,,Manual,First,1461 CC,83.8 bhp,5
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,,Automatic,,2143 CC,167.62 bhp,5
20,BMW 3 Series 320d,Kochi,2014,Diesel,Automatic,First,1995 CC,190 bhp,5
21,Maruti S Cross DDiS 200 Alpha,Bangalore,2015,Diesel,Manual,Second,1248 CC,88.5 bhp,5
22,Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,Petrol,Automatic,First,1984 CC,177.01 bhp,5
23,Hyundai i20 1.2 Magna,Kolkata,2010,Petrol,Manual,First,1197 CC,80 bhp,5
24,Volkswagen Vento Petrol Highline AT,Kolkata,2010,Petrol,Automatic,First,1598 CC,103.6 bhp,5
25,Honda City Corporate Edition,Mumbai,2012,Petrol,Manual,,1497 CC,116.3 bhp,5
26,Nissan Micra Diesel XV,Hyderabad,2012,Diesel,,First,1461 CC,63.1 bhp,5
27,Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,Petrol,Manual,Second,998 CC,67.1 bhp,5
28,Honda WRV i-VTEC VX,Kochi,2018,Petrol,Manual,First,1199 CC,88.7 bhp,5
29,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,Diesel,,Fourth & Above,2494 CC,102 bhp,7
30,Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,Diesel,Manual,First,1461 CC,108.45 bhp,5
31,Toyota Corolla Altis G,Delhi,2012,Petrol,Manual,First,1798 CC,138.1 bhp,5
32,Mahindra Ssangyong Rexton RX7,Bangalore,2013,Diesel,Automatic,Second,2696 CC,184 bhp,7
33,Audi A6 2.7 TDI,Kolkata,2010,Diesel,Automatic,First,2698 CC,179.5 bhp,5
34,Volkswagen Vento 1.6 Highline,Coimbatore,2014,Petrol,Manual,Second,1598 CC,103.5 bhp,5
35,Maruti Wagon R LXI BSIII,Jaipur,2009,Petrol,Manual,Second,1061 CC,64 bhp,5
36,Maruti Vitara Brezza ZDi Plus,Kochi,2018,Diesel,Manual,First,1248 CC,88.5 bhp,5
37,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,Petrol,Manual,First,1198 CC,82 bhp,5
38,Mercedes-Benz M-Class ML 350 CDI,Pune,2013,Diesel,Automatic,First,2987 CC,254.8 bhp,5
39,Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,Diesel,Manual,First,1199 CC,73.9 bhp,5
40,Maruti Alto LXi,Delhi,2008,Petrol,Manual,Second,796 CC,46.3 bhp,5
41,Tata Nano LX SE,Kochi,2014,Petrol,Manual,First,624 CC,37.5 bhp,4
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,Diesel,Manual,First,1198 CC,77 bhp,6
43,Hyundai i20 Magna Optional 1.2,Kochi,2014,Petrol,Manual,First,1197 CC,82.9 bhp,5
44,Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,Petrol,Automatic,First,1999 CC,149.92 bhp,5
45,Toyota Corolla Altis G AT,Mumbai,2016,Petrol,Automatic,First,1798 CC,138.03 bhp,5
46,Hyundai Elantra CRDi,Ahmedabad,2008,Diesel,Manual,Second,1991 CC,112.2 bhp,5
47,Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,Petrol,Manual,First,2694 CC,163.7 bhp,7
48,Hyundai Xcent 1.1 CRDi S,Jaipur,2014,Diesel,Manual,First,1120 CC,71 bhp,5
49,Mahindra Thar CRDe AC,Jaipur,2012,Diesel,Manual,Second,2498 CC,105 bhp,6
50,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,Diesel,Automatic,First,1968 CC,174.33 bhp,5
51,Maruti Swift LDI,Delhi,2014,Diesel,Manual,First,1248 CC,74 bhp,5
52,Maruti Swift Ldi BSIV,Kolkata,2014,Diesel,Manual,First,1248 CC,75 bhp,5
53,Maruti Swift VDI,Delhi,2013,Diesel,Manual,First,1248 CC,74 bhp,5
54,Hyundai Grand i10 Sportz,Chennai,2015,Petrol,Manual,Third,1197 CC,82 bhp,5
55,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,Petrol,Manual,First,1598 CC,103.2 bhp,5
56,Renault KWID RXT,Kochi,2017,Petrol,Manual,First,799 CC,53.3 bhp,5
57,Hyundai i10 Asta,Kolkata,2010,Petrol,Manual,First,1197 CC,78.9 bhp,5
58,Nissan X-Trail SLX AT,Hyderabad,2010,Diesel,Automatic,First,1995 CC,147.6 bhp,5
59,Maruti Zen Estilo VXI BSIII,Hyderabad,2010,Petrol,Manual,First,998 CC,67.1 bhp,5
60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,Diesel,Manual,First,2393 CC,147.8 bhp,8
61,Ford Figo Diesel Titanium,Bangalore,2010,Diesel,Manual,First,1399 CC,68 bhp,5
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,Petrol,Automatic,First,1796 CC,186 bhp,5
63,Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,Diesel,Manual,Second,2148 CC,170 bhp,5
64,Tata Indica V2 eLS,Chennai,2016,Diesel,Manual,First,1396 CC,69 bhp,5
65,Audi A4 2.0 TDI Multitronic,Jaipur,2012,Diesel,Automatic,First,1968 CC,140 bhp,5
66,Honda City ZX CVT,Mumbai,2007,Petrol,Automatic,Second,1497 CC,78 bhp,5
67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,Diesel,Automatic,First,1950 CC,194 bhp,5
68,Maruti Ertiga SHVS VDI,Pune,2016,Diesel,Manual,First,1248 CC,88.5 bhp,7
69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,Diesel,Manual,First,1396 CC,88.7 bhp,5
70,Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,Petrol,Automatic,First,4806 CC,500 bhp,5
71,Mahindra XUV500 W8 4WD,Mumbai,2015,Diesel,Manual,First,2179 CC,140 bhp,7
72,Hyundai i10 Sportz 1.2 AT,Kochi,2012,Petrol,Automatic,First,1197 CC,78.9 bhp,5
73,Nissan Terrano XV D Pre,Kochi,2015,Diesel,Manual,First,1461 CC,108.5 bhp,5
74,Honda Brio VX AT,Coimbatore,2016,Petrol,Automatic,Second,1198 CC,86.8 bhp,5
75,Audi A6 2.0 TDI Design Edition,Delhi,2014,Diesel,Automatic,Second,1968 CC,187.74 bhp,5
76,Ford Fiesta 1.4 SXi TDCi,Jaipur,2008,Diesel,Manual,First,1399 CC,,5
77,Toyota Innova 2.0 G1,Chennai,2006,Petrol,Manual,Third,1998 CC,132 bhp,8
78,Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,Diesel,,First,2494 CC,102 bhp,7
79,Hyundai Santro Xing XL,Hyderabad,2005,Petrol,Manual,First,1086 CC,,5
80,Maruti Swift VDI,Jaipur,2012,Diesel,Manual,First,1248 CC,74 bhp,5
81,Tata Zest Revotron 1.2T XE,Pune,2017,Petrol,Manual,First,1193 CC,88.7 bhp,5
82,Honda Amaze SX i-VTEC,Kochi,2016,Petrol,,First,1198 CC,86.7 bhp,5
83,Ford Figo Diesel ZXI,Hyderabad,2012,Diesel,Manual,First,1399 CC,68 bhp,5
84,Maruti Ritz VDi,Jaipur,2013,Diesel,Manual,First,1248 CC,73.94 bhp,5
85,Honda City i VTEC E,Delhi,2009,Petrol,Manual,First,1497 CC,117.3 bhp,5
86,BMW 5 Series 2003-2012 525d,Delhi,2011,Diesel,Automatic,Second,1995 CC,218 bhp,5
87,Hyundai i10 Sportz 1.2,Pune,2009,Petrol,Manual,First,1197 CC,78.9 bhp,5
88,Hyundai Grand i10 Sportz,Bangalore,2016,Petrol,Manual,First,1197 CC,82 bhp,5
89,Hyundai Santro Xing XO,Hyderabad,2007,Petrol,Manual,First,1086 CC,,5
90,Honda Amaze SX i-VTEC,Mumbai,2016,Petrol,Manual,First,1198 CC,86.7 bhp,5
91,Toyota Fortuner 4x2 Manual,Delhi,2014,Diesel,Manual,First,2982 CC,168.5 bhp,7
92,Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,Diesel,Automatic,First,1968 CC,174.33 bhp,5
93,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,Diesel,Manual,First,1498 CC,89.84 bhp,5
94,Mahindra XUV500 W8 2WD,Delhi,2014,Diesel,Manual,First,2179 CC,140 bhp,7
95,Honda Amaze SX i-DTEC,Kolkata,2015,Diesel,Manual,First,1498 CC,98.6 bhp,5
96,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,Diesel,Manual,First,1199 CC,73.9 bhp,5
97,Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,Diesel,,First,1493 CC,110 bhp,5
98,Maruti Wagon R VXI BS IV,Bangalore,2016,Petrol,Manual,First,998 CC,67.1 bhp,5
99,Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,Petrol,Manual,First,1598 CC,103.5 bhp,5
100,Hyundai i20 1.4 CRDi Sportz,Pune,2011,Diesel,Manual,Second,1396 CC,90 bhp,5
101,Hyundai i20 Asta 1.2,Mumbai,2014,Petrol,Manual,First,1197 CC,82.85 bhp,5
102,Datsun GO Plus T Petrol,Pune,2017,Petrol,Manual,First,1198 CC,67 bhp,7
103,Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,Diesel,Automatic,First,2967 CC,241.4 bhp,5
104,Hyundai i20 2015-2017 Asta,Pune,2009,Petrol,Manual,Second,1197 CC,80 bhp,5
105,Maruti Omni 5 Str STD,Coimbatore,2010,Petrol,,First,796 CC,35 bhp,5
106,Toyota Etios Liva 1.2 G,Ahmedabad,2014,Petrol,Manual,First,1197 CC,78.9 bhp,5
107,Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,Diesel,Automatic,Second,2993 CC,270.9 bhp,5
108,Mahindra XUV500 W8 2WD,Delhi,2012,Diesel,Manual,Second,2179 CC,140 bhp,7
109,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,Diesel,Automatic,First,1582 CC,126.32 bhp,5
110,Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,Diesel,Automatic,First,2755 CC,171.5 bhp,7
111,Maruti Eeco 5 Seater AC,Coimbatore,2017,Petrol,Manual,First,1196 CC,73 bhp,5
112,Tata Nano Twist XT,Bangalore,2014,Petrol,Manual,First,624 CC,37.5 bhp,4
113,BMW 3 Series 320d Luxury Line,Mumbai,2015,Diesel,Automatic,First,1995 CC,190 bhp,5
114,Honda Civic 2006-2010 1.8 V MT,Delhi,2010,Petrol,Manual,First,1799 CC,130 bhp,5
115,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,Diesel,Manual,First,2494 CC,100.6 bhp,7
116,Volvo V40 Cross Country D3,Bangalore,2014,Diesel,Automatic,First,1984 CC,150 bhp,5
117,Nissan Micra XV CVT,Coimbatore,2016,Petrol,Automatic,First,1198 CC,75.94 bhp,5
118,BMW 5 Series 2010-2013 525i,Mumbai,2009,Petrol,Automatic,First,2497 CC,215 bhp,5
119,Maruti Vitara Brezza VDi,Mumbai,2016,Diesel,Manual,First,1248 CC,88.5 bhp,5
120,Hyundai Santro Xing XL eRLX Euro III,Mumbai,2005,Petrol,Manual,Second,1086 CC,,5
121,Mercedes-Benz B Class B200 CDI,Pune,2014,Diesel,Automatic,Second,2143 CC,107.3 bhp,5
122,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,Diesel,Manual,First,1582 CC,126.2 bhp,5
123,Maruti Wagon R LXI BS IV,Pune,2011,Petrol,Manual,First,998 CC,67.1 bhp,5
124,Tata Nano XTA,Coimbatore,2017,Petrol,Automatic,First,624 CC,37.48 bhp,4
125,Mahindra Scorpio VLX,Kolkata,2014,Diesel,Manual,First,2179 CC,120 bhp,8
126,Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,Petrol,Automatic,First,1796 CC,178 bhp,5
127,Maruti Wagon R LXI CNG,Pune,2013,CNG,Manual,First,998 CC,58.16 bhp,5
128,Honda CR-V 2.4 MT,Bangalore,2007,Petrol,Manual,Second,2354 CC,152 bhp,5
129,Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,Diesel,Automatic,First,1498 CC,103.2 bhp,5
130,Maruti Ciaz VXi Plus,Kochi,2017,Petrol,Manual,First,1373 CC,91.1 bhp,5
131,Mahindra XUV500 AT W10 FWD,Jaipur,2016,Diesel,Automatic,First,2179 CC,140 bhp,7
132,Maruti Ritz VXI ABS,Coimbatore,2016,Petrol,Manual,First,1197 CC,85.80 bhp,5
133,Maruti Alto K10 VXI,Hyderabad,2014,Petrol,Manual,First,998 CC,67.1 bhp,5
134,Mercedes-Benz SLC 43 AMG,Kolkata,2017,Petrol,Automatic,First,2996 CC,362.07 bhp,2
135,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,Petrol,Automatic,First,1591 CC,121.3 bhp,5
136,Maruti Alto LXi BSIII,Chennai,2010,Petrol,Manual,Second,796 CC,46.3 bhp,5
137,BMW 1 Series 118d Base,Coimbatore,2015,Diesel,Automatic,First,1995 CC,143 bhp,5
138,Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,Petrol,Automatic,First,1199 CC,88.7 bhp,5
