S.No.,Name,Location,Year,Fuel_Type,Transmission,Owner_Type,Engine,Power,Seats
0,Maruti Wagon R LXI CNG,Mumbai,2010,CNG,Manual,First,998.0,58.16,5.0
1,Hyundai Creta 1.6 CRDi SX Option,Pune,2015,Diesel,Manual,First,1582.0,126.2,5.0
2,Honda Jazz V,Chennai,2011,Petrol,Manual,First,1199.0,88.7,5.0
3,Maruti Ertiga VDI,Chennai,2012,Diesel,Manual,First,1248.0,88.76,7.0
4,Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,Diesel,Automatic,Second,1968.0,140.8,5.0
5,Hyundai EON LPG Era Plus Option,Hyderabad,2012,LPG,Manual,First,814.0,55.2,5.0
6,Nissan Micra Diesel XV,Jaipur,2013,Diesel,Manual,First,1461.0,63.1,5.0
7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,Diesel,Automatic,First,2755.0,171.5,8.0
8,Volkswagen Vento Diesel Comfortline,Pune,2013,Diesel,Manual,First,1598.0,103.6,5.0
9,Tata Indica Vista Quadrajet LS,Chennai,2012,Diesel,Manual,Second,1248.0,74.0,5.0
10,Maruti Ciaz Zeta,Kochi,2018,Petrol,Manual,First,1628.3346693386773,103.25,5.0
11,Honda City 1.5 V AT Sunroof,Kolkata,2012,Petrol,Automatic,First,1497.0,116.3,5.0
12,Maruti Swift VDI BSIV,Jaipur,2015,Diesel,Manual,First,1248.0,74.0,5.0
13,Land Rover Range Rover 2.2L Pure,Delhi,2014,Diesel,Automatic,First,2179.0,187.7,5.0
14,Land Rover Freelander 2 TD4 SE,Pune,2012,Diesel,Automatic,Second,2179.0,115.0,5.0
15,Mitsubishi Pajero Sport 4X4,Delhi,2014,Diesel,Manual,First,2477.0,175.56,7.0
16,Honda Amaze S i-Dtech,Kochi,2016,Diesel,Manual,First,1498.0,98.6,5.0
17,Maruti Swift DDiS VDI,Jaipur,2017,Diesel,Manual,First,1248.0,74.0,5.0
18,Renault Duster 85PS Diesel RxL Plus,Kochi,2014,Diesel,Manual,First,1461.0,83.8,5.0
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,Diesel,Automatic,First,2143.0,167.62,5.0
20,BMW 3 Series 320d,Kochi,2014,Diesel,Automatic,First,1995.0,190.0,5.0
21,Maruti S Cross DDiS 200 Alpha,Bangalore,2015,Diesel,Manual,Second,1248.0,88.5,5.0
22,Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,Petrol,Automatic,First,1984.0,177.01,5.0
23,Hyundai i20 1.2 Magna,Kolkata,2010,Petrol,Manual,First,1197.0,80.0,5.0
24,Volkswagen Vento Petrol Highline AT,Kolkata,2010,Petrol,Automatic,First,1598.0,103.6,5.0
25,Honda City Corporate Edition,Mumbai,2012,Petrol,Manual,First,1497.0,116.3,5.0
26,Nissan Micra Diesel XV,Hyderabad,2012,Diesel,Manual,First,1461.0,63.1,5.0
27,Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,Petrol,Manual,Second,998.0,67.1,5.0
28,Honda WRV i-VTEC VX,Kochi,2018,Petrol,Manual,First,1199.0,88.7,5.0
